525 ads to version (of 527 total, 2 skipped)
  [300/525] 2286604225492568 (Zandu) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
    -- flushed 20 to Supabase --
  [301/525] 1604824081101876 (Zandu) -> ['PASS', 'PASS', 'FAIL']
  [302/525] 1057673630579938 (Zandu) -> ['PASS', 'PASS', 'PASS']
  [303/525] 1888983205412961 (Zandu) -> ['PASS', 'FAIL', 'FAIL']
  [304/525] 1568710978368944 (Zandu) -> ['PASS', 'FAIL', 'PASS']
  [305/525] 1657851066133248 (Zandu) -> ['PASS', 'PASS', 'PASS']
  [306/525] 1125085359946579 (Zandu) -> ['PASS', 'PASS', 'PASS']
  [307/525] 1092555099969729 (Zandu) -> ['PASS', 'PASS', 'PASS']
  [308/525] 1386490550334606 (Zandu) -> ['FAIL', 'FAIL', 'PASS']
  [309/525] 1389080356727703 (Zandu) -> ['FAIL', 'FAIL', 'PASS']
  [310/525] 1053848850586964 (Zandu) -> ['FAIL', 'PASS', 'FAIL']
  [311/525] 1643418224064493 (Zandu) -> ['FAIL', 'PASS', 'PASS']
  [312/525] 1426223936021516 (Himalaya Wellness) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [313/525] 1382964147342532 (Organic India) -> ['FAIL', 'PASS', 'FAIL']
  [314/525] 1083836347939871 (Vahdam) -> ['PASS', 'FAIL', 'FAIL']
  [315/525] 4490819971186521 (Vahdam) -> ['FAIL', 'PASS', 'FAIL']
  [316/525] 1400364295526297 (Vahdam) -> ['PASS', 'PASS', 'PASS']
  [317/525] 1091786286766442 (Vahdam) -> ['FAIL', 'PASS', 'FAIL']
  [318/525] 1114083824377881 (Vahdam) -> ['NEEDS_EDIT', 'FAIL', 'PASS']
  [319/525] 1260582436193493 (Himalaya Wellness) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [320/525] 1156384090845645 (Himalaya Wellness) -> ['FAIL', 'PASS', 'FAIL']
    -- flushed 20 to Supabase --
  [321/525] 1105655505359326 (Himalaya Wellness) -> ['NEEDS_EDIT', 'FAIL', 'PASS']
  [322/525] 2325913261240985 (Wellness) -> ['PASS', 'PASS', 'PASS']
  [323/525] 1263094925773481 (Wellness) -> ['FAIL', 'FAIL', 'FAIL']
  [324/525] 1195821186065821 (Wellness) -> ['NEEDS_EDIT', 'FAIL', 'PASS']
  [325/525] 2067150544121197 (Wellness) -> ['PASS', 'PASS', 'PASS']
  [326/525] 927781246768751 (Wellness) -> ['FAIL', 'FAIL', 'PASS']
  [327/525] 1615967176288369 (Wellness) -> ['PASS', 'FAIL', 'PASS']
  [328/525] 1090215443351217 (Kapiva) -> ['PASS', 'PASS', 'FAIL']
  [329/525] 1293483369402467 (Kapiva) -> ['FAIL', 'FAIL', 'FAIL']
  [330/525] 793802583426723 (Wellness) -> ['FAIL', 'FAIL', 'FAIL']
  [331/525] 1519944782807550 (Wellness) -> ['PASS', 'FAIL', 'FAIL']
  [332/525] 1440119403803703 (Wellness) -> ['PASS', 'PASS', 'PASS']
  [333/525] 1432822404704560 (Wellness) -> ['FAIL', 'PASS', 'FAIL']
  [334/525] 1562093965025043 (Life) -> ['PASS', 'FAIL', 'FAIL']
  [335/525] 1486512186602343 (Wellness) -> ['FAIL', 'FAIL', 'FAIL']
  [336/525] 28127483296852202 (Ayurveda) -> ['PASS', 'FAIL', 'FAIL']
  [337/525] 802360767964765 (Ayurveda) -> ['NEEDS_EDIT', 'PASS', 'FAIL']
  [338/525] 1349578719685390 (Ayurveda) -> ['PASS', 'FAIL', 'FAIL']
  [339/525] 371935275398584 (Ayurveda) -> ['FAIL', 'PASS', 'FAIL']
  [340/525] 1463395008992110 (Ayurveda) -> ['PASS', 'FAIL', 'FAIL']
    -- flushed 20 to Supabase --
  [341/525] 9718518468233714 (Ayurveda) -> ['PASS', 'PASS', 'PASS']
  [342/525] 2324708778306011 (Himalaya Wellness) -> ['PASS', 'PASS', 'PASS']
  [343/525] 1529572649183001 (India) -> ['PASS', 'PASS', 'PASS']
  [344/525] 1567816741721882 (Organic) -> ['FAIL', 'FAIL', 'PASS']
  [345/525] 1083523957967982 (Life) -> ['PASS', 'FAIL', 'PASS']
  [346/525] 1052006634496730 (Life) -> ['PASS', 'PASS', 'PASS']
  [347/525] 1736782717653790 (Life) -> ['PASS', 'PASS', 'PASS']
  [348/525] 1792973071731282 (Life) -> ['PASS', 'FAIL', 'FAIL']
  [349/525] 1406548888345700 (Life) -> ['PASS', 'PASS', 'PASS']
  [350/525] 1512560797223560 (Kapiva) -> ['FAIL', 'FAIL', 'PASS']
  [351/525] 28918178114446209 (Life) -> ['PASS', 'PASS', 'PASS']
  [352/525] 1414037597458597 (Life) -> ['PASS', 'PASS', 'PASS']
  [353/525] 2288995545232575 (Life) -> ['PASS', 'PASS', 'PASS']
  [354/525] 1569107797432653 (Vahdam) -> ['PASS', 'FAIL', 'PASS']
  [355/525] 900380866143111 (Vahdam) -> ['PASS', 'PASS', 'PASS']
  [356/525] 1591222635795386 (Kapiva) -> ['PASS', 'FAIL', 'FAIL']
  [357/525] 1325743636082356 (Kapiva) -> ['PASS', 'PASS', 'PASS']
  [358/525] 2075089450554226 (Kapiva) -> ['FAIL', 'PASS', 'PASS']
  [359/525] 1388192569959933 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [360/525] 1330286892636100 (Kapiva) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
    -- flushed 20 to Supabase --
  [361/525] 1604350107738962 (Kapiva) -> ['PASS', 'PASS', 'PASS']
  [362/525] 1772260690469790 (Kapiva) -> ['PASS', 'FAIL', 'PASS']
  [363/525] 1389921879984861 (Kapiva) -> ['FAIL', 'NEEDS_EDIT', 'PASS']
  [364/525] 1072459412000575 (Kapiva) -> ['PASS', 'FAIL', 'PASS']
  [365/525] 1022732207464379 (Himalaya Wellness) -> ['PASS', 'PASS', 'FAIL']
  [366/525] 1787776528920389 (Himalaya Wellness) -> ['PASS', 'PASS', 'FAIL']
  [367/525] 1821940232305451 (OZiva) -> ['PASS', 'PASS', 'FAIL']
  [368/525] 1515373939961480 (Kapiva) -> ['PASS', 'PASS', 'PASS']
  [369/525] 1629939642099902 (OZiva) -> ['FAIL', 'PASS', 'FAIL']
  [370/525] 1019141807850796 (OZiva) -> ['FAIL', 'PASS', 'PASS']
  [371/525] 1634224648327028 (OZiva) -> ['FAIL', 'FAIL', 'FAIL']
  [372/525] 1941388120568119 (OZiva) -> ['FAIL', 'FAIL', 'FAIL']
  [373/525] 1991799234833403 (OZiva) -> ['FAIL', 'PASS', 'FAIL']
  [374/525] 2262047727877912 (OZiva) -> ['PASS', 'PASS', 'PASS']
  [375/525] 3613633575444377 (Kapiva) -> ['PASS', 'PASS', 'FAIL']
  [376/525] 1107077271895557 (OZiva) -> ['FAIL', 'FAIL', 'PASS']
  [377/525] 1079799381408030 (OZiva) -> ['PASS', 'PASS', 'PASS']
  [378/525] 916454584343558 (OZiva) -> ['FAIL', 'FAIL', 'FAIL']
  [379/525] 1043700841630425 (OZiva) -> ['NEEDS_EDIT', 'PASS', 'PASS']
  [380/525] 1609855140773767 (OZiva) -> ['FAIL', 'FAIL', 'PASS']
    -- flushed 20 to Supabase --
  [381/525] 902893209208274 (Kapiva) -> ['PASS', 'FAIL', 'FAIL']
  [382/525] 1375514800878180 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [383/525] 2159680461570583 (wellbeingnutrition) -> ['PASS', 'FAIL', 'FAIL']
  [384/525] 2051997692075967 (wellbeingnutrition) -> ['FAIL', 'PASS', 'FAIL']
  [385/525] 1414499720640982 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [386/525] 1055811827262208 (wellbeingnutrition) -> ['PASS', 'PASS', 'FAIL']
  [387/525] 1038637428986467 (wellbeingnutrition) -> ['NEEDS_EDIT', 'PASS', 'FAIL']
  [388/525] 1419317526958863 (wellbeingnutrition) -> ['PASS', 'FAIL', 'FAIL']
  [389/525] 967222806408038 (wellbeingnutrition) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [390/525] 929806580187005 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [391/525] 1308093234613574 (Zandu) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [392/525] 2115761075694901 (Zandu) -> ['PASS', 'FAIL', 'FAIL']
  [393/525] 2196237294266843 (Zandu) -> ['NEEDS_EDIT', 'FAIL', 'PASS']
  [394/525] 1607450547528469 (Wagh Bakri) -> ['PASS', 'FAIL', 'NEEDS_EDIT']
  [395/525] 2674994446271474 (Zandu) -> ['PASS', 'PASS', 'PASS']
  [396/525] 4913549928885088 (Wagh Bakri) -> ['PASS', 'FAIL', 'PASS']
  [397/525] 1726730665271568 (Wagh Bakri) -> ['PASS', 'PASS', 'FAIL']
  [398/525] 1291965002905432 (Himalaya Wellness) -> ['PASS', 'FAIL', 'PASS']
  [399/525] 1073881355569193 (Himalaya Wellness) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [400/525] 1567563724843478 (Himalaya Wellness) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
    -- flushed 20 to Supabase --
  [401/525] 2378096519661479 (Organic India) -> ['FAIL', 'FAIL', 'PASS']
  [402/525] 1834260291073240 (Vahdam) -> ['PASS', 'FAIL', 'FAIL']
  [403/525] 954783986917812 (Vahdam) -> ['PASS', 'PASS', 'PASS']
  [404/525] 1004281836000983 (Vahdam) -> ['PASS', 'FAIL', 'FAIL']
  [405/525] 4732997173597382 (Vahdam) -> ['PASS', 'FAIL', 'PASS']
  [406/525] 1854088468911277 (Vahdam) -> ['PASS', 'PASS', 'PASS']
  [407/525] 1565608022032183 (Vahdam) -> ['FAIL', 'FAIL', 'FAIL']
  [408/525] 1058173000531375 (Vahdam) -> ['FAIL', 'FAIL', 'FAIL']
  [409/525] 2002198180495932 (Vahdam) -> ['NEEDS_EDIT', 'FAIL', 'PASS']
  [410/525] 1790571065463573 (Vahdam) -> ['PASS', 'PASS', 'PASS']
  [411/525] 1062952519707085 (Vahdam) -> ['PASS', 'PASS', 'PASS']
  [412/525] 2021204831910261 (Vahdam) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [413/525] 1355028113045013 (Vahdam) -> ['NEEDS_EDIT', 'PASS', 'FAIL']
  [414/525] 1691531478603935 (Vahdam) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [415/525] 4473317982812533 (Vahdam) -> ['PASS', 'FAIL', 'PASS']
  [416/525] 1592456955675235 (Vahdam) -> ['PASS', 'FAIL', 'FAIL']
  [417/525] 2657942874639376 (Himalaya Wellness) -> ['PASS', 'PASS', 'PASS']
  [418/525] 909044168484995 (Kapiva) -> ['PASS', 'PASS', 'PASS']
  [419/525] 1765194641330472 (Blue Tea) -> ['PASS', 'PASS', 'FAIL']
  [420/525] 1780741652944585 (Kapiva) -> ['PASS', 'FAIL', 'FAIL']
    -- flushed 20 to Supabase --
  [421/525] 1445786644108072 (Kapiva) -> ['PASS', 'PASS', 'FAIL']
  [422/525] 1375065220753320 (Kapiva) -> ['FAIL', 'PASS', 'FAIL']
  [423/525] 2306312373439244 (Kapiva) -> ['FAIL', 'FAIL', 'FAIL']
  [424/525] 1072535441820665 (Kapiva) -> ['PASS', 'FAIL', 'FAIL']
  [425/525] 1688494305575621 (Himalaya Wellness) -> ['FAIL', 'FAIL', 'FAIL']
  [426/525] 1903822887259503 (Himalaya Wellness) -> ['FAIL', 'FAIL', 'FAIL']
  [427/525] 1111606855157085 (Himalaya Wellness) -> ['PASS', 'PASS', 'PASS']
  [428/525] 2458487061638489 (Himalaya Wellness) -> ['PASS', 'PASS', 'PASS']
  [429/525] 1882790509365149 (Blue Tea) -> ['PASS', 'FAIL', 'FAIL']
  [430/525] 1106733081872063 (Himalaya Wellness) -> ['PASS', 'PASS', 'PASS']
  [431/525] 2859100387804396 (Himalaya Wellness) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [432/525] 931940546078386 (Himalaya Wellness) -> ['NEEDS_EDIT', 'FAIL', 'NEEDS_EDIT']
  [433/525] 1734353737650117 (Himalaya Wellness) -> ['PASS', 'FAIL', 'PASS']
  [434/525] 1599923635045220 (Blue Tea) -> ['PASS', 'FAIL', 'FAIL']
  [435/525] 4452119195002584 (Himalaya Wellness) -> ['PASS', 'FAIL', 'FAIL']
  [436/525] 1384212797188639 (Himalaya Wellness) -> ['FAIL', 'FAIL', 'FAIL']
  [437/525] 1077821298167164 (Himalaya Wellness) -> ['PASS', 'PASS', 'PASS']
  [438/525] 1352438993319273 (Himalaya Wellness) -> ['FAIL', 'FAIL', 'PASS']
  [439/525] 1066662522951051 (Himalaya Wellness) -> ['PASS', 'FAIL', 'PASS']
  [440/525] 886576117505225 (Blue Tea) -> ['FAIL', 'FAIL', 'PASS']
    -- flushed 20 to Supabase --
  [441/525] 1809753486702603 (Himalaya Wellness) -> ['NEEDS_EDIT', 'PASS', 'PASS']
  [442/525] 2271451973698178 (Himalaya Wellness) -> ['NEEDS_EDIT', 'FAIL', 'NEEDS_EDIT']
  [443/525] 28285996421068676 (Himalaya Wellness) -> ['PASS', 'FAIL', 'FAIL']
  [444/525] 1678443497240285 (Himalaya Wellness) -> ['PASS', 'PASS', 'PASS']
  [445/525] 1569922581281046 (Himalaya Wellness) -> ['FAIL', 'FAIL', 'PASS']
  [446/525] 2066206463989676 (Himalaya Wellness) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [447/525] 2393084568101118 (Himalaya Wellness) -> ['NEEDS_EDIT', 'FAIL', 'NEEDS_EDIT']
  [448/525] 2274795430002192 (Himalaya Wellness) -> ['PASS', 'PASS', 'PASS']
  [449/525] 1434185972178609 (Himalaya Wellness) -> ['FAIL', 'FAIL', 'FAIL']
  [450/525] 2211140776123407 (Himalaya Wellness) -> ['FAIL', 'FAIL', 'FAIL']
  [451/525] 1360067339673074 (Himalaya Wellness) -> ['NEEDS_EDIT', 'FAIL', 'PASS']
  [452/525] 4585072075154062 (Organic India) -> ['PASS', 'PASS', 'PASS']
  [453/525] 2805906303125371 (Organic India) -> ['PASS', 'PASS', 'FAIL']
  [454/525] 1044639275101983 (Vahdam) -> ['FAIL', 'FAIL', 'FAIL']
  [455/525] 1127658492942696 (Vahdam) -> ['FAIL', 'FAIL', 'PASS']
  [456/525] 1670522198406550 (Vahdam) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [457/525] 2639845139777780 (Vahdam) -> ['FAIL', 'FAIL', 'PASS']
  [458/525] 1149680930746324 (Vahdam) -> ['PASS', 'FAIL', 'PASS']
  [459/525] 1061040696826321 (Vahdam) -> ['PASS', 'PASS', 'PASS']
  [460/525] 1595414018850930 (Girnar) -> ['PASS', 'FAIL', 'FAIL']
    -- flushed 20 to Supabase --
  [461/525] 2018183742163252 (Girnar) -> ['FAIL', 'FAIL', 'PASS']
  [462/525] 2193063641426883 (Vahdam) -> ['PASS', 'PASS', 'PASS']
  [463/525] 1222559400037226 (Vahdam) -> ['FAIL', 'FAIL', 'FAIL']
  [464/525] 2004245303579380 (Girnar) -> ['FAIL', 'FAIL', 'FAIL']
  [465/525] 2136161780645831 (Girnar) -> ['FAIL', 'PASS', 'PASS']
  [466/525] 2324923208316979 (Girnar) -> ['FAIL', 'FAIL', 'PASS']
  [467/525] 1628999612442597 (Girnar) -> ['PASS', 'PASS', 'PASS']
  [468/525] 1034013236169068 (Blue Tea) -> ['PASS', 'PASS', 'PASS']
  [469/525] 1066451636089921 (Blue Tea) -> ['FAIL', 'FAIL', 'PASS']
  [470/525] 1274877784676679 (Blue Tea) -> ['PASS', 'FAIL', 'FAIL']
  [471/525] 1048192118008491 (Blue Tea) -> ['FAIL', 'FAIL', 'FAIL']
  [472/525] 926409573859798 (Blue Tea) -> ['FAIL', 'FAIL', 'PASS']
  [473/525] 1445338354123865 (Blue Tea) -> ['PASS', 'FAIL', 'FAIL']
  [474/525] 1085302817406858 (Blue Tea) -> ['PASS', 'PASS', 'NEEDS_EDIT']
  [475/525] 1085312103871233 (Blue Tea) -> ['PASS', 'FAIL', 'PASS']
  [476/525] 959343493094849 (Blue Tea) -> ['FAIL', 'FAIL', 'FAIL']
  [477/525] 3111395685865652 (Blue Tea) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [478/525] 1077512001334237 (Blue Tea) -> ['FAIL', 'FAIL', 'FAIL']
  [479/525] 1470957031751458 (Blue Tea) -> ['PASS', 'PASS', 'PASS']
  [480/525] 1065019766511185 (Blue Tea) -> ['PASS', 'FAIL', 'FAIL']
    -- flushed 20 to Supabase --
  [481/525] 1619038033280901 (Vahdam) -> ['FAIL', 'FAIL', 'FAIL']
  [482/525] 1777350893690547 (Kapiva) -> ['FAIL', 'PASS', 'PASS']
  [483/525] 1051787987610871 (Vahdam) -> ['PASS', 'FAIL', 'FAIL']
  [484/525] 1037340519122392 (Vahdam) -> ['FAIL', 'FAIL', 'PASS']
  [485/525] 1050645700902093 (Vahdam) -> ['PASS', 'FAIL', 'PASS']
  [486/525] 1740632933908305 (Vahdam) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [487/525] 1919394792061755 (Vahdam) -> ['PASS', 'FAIL', 'FAIL']
  [488/525] 2848245242235250 (Vahdam) -> ['PASS', 'FAIL', 'PASS']
  [489/525] 2481736422347424 (OZiva) -> ['PASS', 'FAIL', 'FAIL']
  [490/525] 1086850364095459 (OZiva) -> ['PASS', 'PASS', 'PASS']
  [491/525] 4520681284743450 (OZiva) -> ['PASS', 'FAIL', 'FAIL']
  [492/525] 1383151869945974 (OZiva) -> ['PASS', 'FAIL', 'FAIL']
  [493/525] 964456136680954 (OZiva) -> ['FAIL', 'FAIL', 'PASS']
  [494/525] 2183374362226872 (OZiva) -> ['PASS', 'PASS', 'PASS']
  [495/525] 1547934619950961 (OZiva) -> ['PASS', 'FAIL', 'FAIL']
  [496/525] 1786416109165606 (wellbeingnutrition) -> ['FAIL', 'PASS', 'PASS']
  [497/525] 1528051655756943 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [498/525] 4380639415533659 (Kapiva) -> ['FAIL', 'FAIL', 'FAIL']
  [499/525] 37911585115152498 (Kapiva) -> ['PASS', 'FAIL', 'PASS']
  [500/525] 1826847468687422 (Kapiva) -> ['PASS', 'FAIL', 'FAIL']
    -- flushed 20 to Supabase --
  [501/525] 1795413528135621 (Kapiva) -> ['PASS', 'FAIL', 'PASS']
  [502/525] 932799189324411 (Kapiva) -> ['PASS', 'PASS', 'PASS']
  [503/525] 1013854621695644 (Kapiva) -> ['PASS', 'PASS', 'PASS']
  [504/525] 990753374033079 (Kapiva) -> ['PASS', 'FAIL', 'FAIL']
  [505/525] 892356217071338 (Kapiva) -> ['PASS', 'FAIL', 'FAIL']
  [506/525] 1006064975780697 (Kapiva) -> ['PASS', 'PASS', 'PASS']
  [507/525] 1433359112033703 (Kapiva) -> ['PASS', 'FAIL', 'FAIL']
  [508/525] 1048507827894556 (Kapiva) -> ['PASS', 'FAIL', 'FAIL']
  [509/525] 2418973101969414 (Kapiva) -> ['PASS', 'FAIL', 'PASS']
  [510/525] 1266713423202595 (Kapiva) -> ['PASS', 'FAIL', 'FAIL']
  [511/525] 1367123458939713 (Kapiva) -> ['PASS', 'PASS', 'PASS']
  [512/525] 28438604599110245 (Kapiva) -> ['FAIL', 'PASS', 'PASS']
  [513/525] 1076699362001562 (Kapiva) -> ['PASS', 'FAIL', 'FAIL']
  [514/525] 1254405593489767 (Kapiva) -> ['PASS', 'PASS', 'FAIL']
  [515/525] 1343001081343694 (Kapiva) -> ['FAIL', 'PASS', 'FAIL']
  [516/525] 1590553525777646 (Kapiva) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [517/525] 2174897743309961 (Kapiva) -> ['PASS', 'PASS', 'FAIL']
  [518/525] 1528673289296167 (Kapiva) -> ['PASS', 'FAIL', 'FAIL']
  [519/525] 1718887672563531 (Kapiva) -> ['FAIL', 'FAIL', 'FAIL']
  [520/525] 1103144198891001 (Kapiva) -> ['PASS', 'PASS', 'FAIL']
    -- flushed 20 to Supabase --
  [521/525] 1463010142510578 (Kapiva) -> ['PASS', 'PASS', 'PASS']
  [522/525] 1264814852113465 (Kapiva) -> ['FAIL', 'FAIL', 'FAIL']
  [523/525] 4760636954167143 (Kapiva) -> ['PASS', 'PASS', 'PASS']
  [524/525] 1029411036645387 (Kapiva) -> ['FAIL', 'FAIL', 'FAIL']
  [525/525] 1037684469161173 (Kapiva) -> ['PASS', 'FAIL', 'FAIL']
done: 525 ok, 0 failed
